fact_id	branch	field	reported_value	unit	source_locator
F033	T-state annotation	method;version;matrix;assignment	GSVA;1.52;log10-transformed and scaled;maximum signature score	not_recorded	P01 STAR Methods / Spatial Profiling of T Cells
F034	Communication	methods;CPDB_input;combination	CellChat and CellPhoneDB;gene-by-cell count matrix;combined results	not_recorded	P01 STAR Methods / cell communications; TableS4 referenced
F035	Statistics	sidedness;adjustment;threshold	two-sided;BH;p or FDR<0.05	not_recorded	P01 QUANTIFICATION AND STATISTICAL ANALYSIS
F036	Serial sections	Lung5;Lung9	3 serial;2 non-serial	sections	P01 Results / frequency and tissue architecture
F037	Tumor state example	sample;clusters	Ovarian xe1;3	not_recorded	P01 Results / Xenium; Fig5B-D
F038	Fig5 distance caption fragment	tumor_cells_per_group;test	273898;Wilcoxon	count;not_recorded	P01 Figure5 caption fragment; panel letter not fully retrieved
F039	iStar	input;function;interpretation	ST + H&E;marker_score.py;predicted signature-enriched regions	not_recorded	P01 STAR Methods / Gene signature expression and cell type deconvolution; FigS6; final lookup turn931373search0
F040	Xenium panel	reported_missing_marker_examples	ACTA2;TAGLN;collagen markers;CD74;HLA class II; paper-specific panel statement, not independent panel-file audit	gene identifiers	P01 Results / Xenium 5K; Limitations; turn931373search0
F041	Initial QC	low_quality_rule	fewer than 20 feature counts per cell; exact column/feature-vs-molecule semantics not recovered	author wording	P01 Single-cell ST data processing, QC, and analysis; turn587805search0
F042	Initial normalization	Seurat_version;normalization;PCA_features;resolution	4.3.1;SCTransform;all genes;0.5	not_recorded	P01 Single-cell ST data processing, QC, and analysis; turn587805search0
F043	Batch correction	excluded_compartment;method;batch_key	epithelial/tumor cells excluded BEFORE stromal batch correction;RPCA;sample	not_recorded	P01 Single-cell ST data processing, QC, and analysis; turn970419search0
F044	Batch correction	reported_call_sequence	SplitObject;NormalizeData;SelectIntegrationFeatures;ScaleData;RunPCA;FindIntegrationAnchors;IntegrateData	functions	P01 Single-cell ST data processing, QC, and analysis; turn970419search0
F045	DEGs	function	Seurat FindAllMarkers; exact test, assay, thresholds and replicate treatment not recovered	function	P01 Single-cell ST data processing, QC, and analysis; turn406234search0
F046	Xenium QC	high_quality_cells;mean_detected_genes	2531470;309	counts	P01 Single-cell ST data processing, QC, and analysis; turn587805search0
F047	Xenium tumor states	State1_genes;State2_genes;State3_genes	CD47/CD44/CCL28/NT5E;TERT/ALK/SESN3;S1PR3/TMEM100; author reported	genes	P01 Results / Xenium 5K; Fig5E; turn931373search0
F048	Xenium proximity	State1_near_vs_far_percent	61.4;15.4; region threshold not recovered	percent	P01 Results / Xenium 5K; Fig5F; turn931373search0
F049	Xenium cross-section DEGs	three_of_four;all_four	55;7; neither treated as patient-level meta-analysis here	genes	P01 Results / Xenium 5K; Fig5G; TableS6 not acquired; turn931373search0
F050	Xenium communication	reported_highest_probability_pair	THBS1-CD47; model-derived communication probability, not functional effect size	not_recorded	P01 Results / Xenium 5K; Fig5H; TableS6 not acquired; turn931373search0
