panel	question	input	display_or_output	statistical_unit	audit_boundary	visual_status	code_status
Fig4e	TR是否具有NK样表型	RNA/ADT及克隆平衡下采样	火山图；RNA圆点、ADT三角	细胞嵌套克隆供者	100/1000冲突；平均P不是自然FDR控制	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig4f	蛋白门能否富集TR	原代gamma-delta GPR56/CD94流式	阳性双门与双阴性门	患者	富集不等于纯化全部TR/NTR	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig4g	TCR是否参与原代活化	五患者细胞，刺激/未刺激，阻断/同型	4-1BB增量配对比较	患者内重复测量	基线、同型与刺激条件必须成对	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig4h	TCR阻断是否降低原代杀伤	五患者TR富集细胞与CD138+MM	配对杀伤比较	患者	支持测试体系依赖，非临床必要性	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig5a	治疗前后哪些克隆改变	patient/time/clone/count/prediction/assay	五患者代表性alluvial	患者内克隆	河流是相同克隆身份；不是细胞轨迹	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig5b	应答者TR比例如何改变	TR/all-gd比例，baseline与C2D1	FC组间箱图	患者	baseline为零/缺失处理未知	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig5c	TR比例增加与PFS关系	FC>1/<=1、生存删失	KM及risk table	患者	n13与缺失baseline需对齐；探索性	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig5d	血浆能否捕捉已知TR	患者匹配BM delta序列及PreGame标签、RF	组间箱图	患者	C2D1或C6D1；delta不是唯一配对受体	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig6a	Vgamma9是否B2M依赖	WT、B2M KO、CD1D OE靶反应	归一化FC矩阵	受体×独立实验	图内含重用TCR40/65数据；非新增重复	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig6b	是否依赖HLA-I	TCR65+Jurkat与WT/HLA-ABC KO	GFP流式对照	独立实验	KO表面效率必须确认	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig6c	能否定位到HLA-C	WT、HLA-A KO、HLA-C KO	GFP流式	独立实验	区分整体B2M效应与特定HLA	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig6d	哪些HLA allotype允许识别	单一HLA人工呈递细胞	GFP流式	allele×独立实验	只可外推到测试allotypes	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig6e	C03:04的关键功能位置	WT或三个单点突变靶细胞	GFP定量；V103L回补	独立实验	不是原子接触或肽独立性完整证明	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig6f	为什么自反应克隆未被清除	TCR65克隆细胞与其他TR/NTR RNA	DE与KIR3DL1候选	克隆；供者混杂	一个克隆特性与供者背景不可完全分离	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig6g	肿瘤是否保留激活丢失抑制	MM02正常B及恶性细胞HLA表达	HLA-C保留而HLA-A/B低的百分比	一个供者内细胞	RNA低不等于蛋白丢失或CNV	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig6h	KIR3DL1是否条件抑制	CD8a与CD8a+KIR3DL1报告细胞；Bw4-/+靶	CD69流式	靶类型×独立实验	不是患者匹配正常细胞安全验证	caption_only; original pixels not available	Not inspected; Zenodo unavailable
Fig6i	机制整合	HLA-C激活与Bw4/KIR3DL1抑制实验	提出的条件门示意	研究假说	示意箭头不是额外实验	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED1a	入组和临床基线	可用样本与临床记录	样本表/基线表	患者	列出分析实际分母和缺失	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED1b	入组和临床基线	可用样本与临床记录	样本表/基线表	患者	列出分析实际分母和缺失	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED1c	整体PFS	37患者结局	KM及95%CI	患者	不是独立验证队列	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED1d	链与血液组分特异性	配对delta或beta RF差	分层KM	31cfDNA或29PBMC患者	中位数切分与多次探索	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED1e	链与血液组分特异性	配对delta或beta RF差	分层KM	31cfDNA或29PBMC患者	中位数切分与多次探索	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED1f	链与血液组分特异性	配对delta或beta RF差	分层KM	31cfDNA或29PBMC患者	中位数切分与多次探索	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED1g	多指标检验全景	各链各指标P值	P值热图	患者	选择性强调最显著结果风险	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED2a	平均delta RF与richness	纵向采样先患者内平均	均值条图	患者	患者平均与访视分布不同	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED2b	平均delta RF与richness	纵向采样先患者内平均	均值条图	患者	患者平均与访视分布不同	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED2c	各链平均RF与richness	纵向患者内聚合	箱图	患者	每患者等权与采样窗	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED2d	各链平均RF与richness	纵向患者内聚合	箱图	患者	每患者等权与采样窗	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED2e	基线与治疗中全部采样	各血液采样RF或richness	箱图	血液collection	同患者多个访视不独立	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED2f	基线与治疗中全部采样	各血液采样RF或richness	箱图	血液collection	同患者多个访视不独立	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED2g	骨髓T/NK身份	103714细胞GEX/ADT/VDJ	UMAP受体/注释/密度	细胞	TRDC表达不能单独证明gamma-delta身份	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED2h	骨髓T/NK身份	103714细胞GEX/ADT/VDJ	UMAP受体/注释/密度	细胞	TRDC表达不能单独证明gamma-delta身份	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED2i	骨髓T/NK身份	103714细胞GEX/ADT/VDJ	UMAP受体/注释/密度	细胞	TRDC表达不能单独证明gamma-delta身份	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED2j	注释凭据	基因和蛋白marker	DotPlot	细胞/cluster	RNA和ADT符号空间分开	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED2k	其他效应群体是否富集	患者细胞组成	组间箱图	患者	不能把cell n当patient n	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED2l	应答者与非应答者状态覆盖	共同嵌入分组显示	分面UMAP	细胞描述	样本数与细胞数不同导致空区域	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED3a	基线到治疗克隆替换	alpha-beta和gamma-delta克隆频率	alluvial	患者内克隆	new/lost可能受测序深度影响	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED3b	克隆变化分类	new/lost/expanded/contracted	饼图	克隆	使用相对比例不等同绝对扩增	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED3c	血液与骨髓序列重叠	患者匹配链CDR3集合	overlap比例	患者/序列	报告两个方向的分母	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED3d	哪一血液组分更接近骨髓	BM和血液丰度向量	Morisita-Horn比较	患者与时点	核查vegdist distance到similarity转换	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED4a	分选范围	细胞门控	代表性流式门控	样本	不是未分选骨髓全部组成	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED4b	定制VDJ如何恢复配对	G/M/GM contigs	流程示意	barcode与克隆	分支优先级、dual、key映射	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED4c	PreGame全队列图谱	157636细胞联合嵌入	受体类型及最终注释UMAP	细胞	不是全部监督训练细胞	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED4d	PreGame全队列图谱	157636细胞联合嵌入	受体类型及最终注释UMAP	细胞	不是全部监督训练细胞	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED4e	标记支持	RNA和蛋白	DotPlot	cluster	不能将此表当19+5最终有序特征	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED4f	两类gamma-delta组成	每供者GZMB/GZMK比例	箱图	22患者	不同供者贡献不能混合成单一样本	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED5a	靶细胞系选择覆盖	66个MM细胞系bulk表达	UMAP	细胞系	FPKM预处理与小n_neighbors需固定	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED5b	目标配体存在性	患者MM及所选七细胞系配体表达	表达图	患者/细胞系	转录与表面表达不可互换	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED5c	目标配体存在性	患者MM及所选七细胞系配体表达	表达图	患者/细胞系	转录与表面表达不可互换	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED5d	CD1D操纵是否成功	WT/OE细胞	表面流式	细胞系	OE也改变了筛选条件	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED5e	报告筛选如何门控	Jurkat标记和NUR77GFP	流式门控/代表性对照	实验	阴性构建和unstim必要	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED5f	报告筛选如何门控	Jurkat标记和NUR77GFP	流式门控/代表性对照	实验	阴性构建和unstim必要	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED5g	边界受体	12 borderline受体反应	激活矩阵	受体/独立实验	排除边界使监督任务更容易	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED5h	跨癌種原始细胞系覆盖	逐细胞系激活	反应矩阵	靶系与受体	Fig2e的max来自此类数据	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED5i	是否长期持续	两供者纵向血液受体	序列持续检测	患者	持续存在不证明功能持续或治疗因果	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED6a	发现特征与功能标签	TR/NTR/borderline表型	表达比较	细胞嵌套克隆	标签监督特征筛选必须在外fold内	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED6b	模型用了哪些特征	最终feature importance	重要性图	训练模型	完整有序列及计算方法未恢复	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED6c	与alpha-beta签名是否重叠	签名成员集合	重叠展示	特征集合	不同任务签名不是同预算重训模型	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED6d	各队列候选有多少	paired clonotype counts	计数	候选克隆	与S4 fullsequence定义对齐	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED6e	究竟选了哪些候选	max score、median条件、表达失败	分布与候选标记	克隆	替补和max/median条件待代码核验	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED6f	各克隆内分数是否一致	每细胞分数和克隆归属	packed circle	细胞/克隆	一致性不保证max没有size偏倚	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED6g	能否找回已知MCC受体	60候选排名	已知gdTCR3-4排名	一位患者候选库	找回已知阳性不是完整混淆矩阵	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED6h	MCC候选功能	MCC靶反应	激活矩阵	独立实验	缺ADT时原模型输入分支未恢复	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED6i	黑色素瘤图谱	21866细胞来自两患者	UMAP	细胞	跨组织域偏移	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED6j	黑色素瘤验证	候选与melanoma靶反应	激活矩阵	独立实验	被选择受体非随机全体	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED6k	NSCLC图谱	21629细胞来自四患者	UMAP与测序批次	细胞/患者	一个单测与三供者混样	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED6l	NSCLC候选检测	候选与肺癌靶系	反应矩阵	一至二独立实验	所测阴性不测定阳性灵敏度	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED6m	固定阈值的已测结果	0.85标签及实验	队列内正确比例	已筛选克隆	必须给出未测克隆和选择机制	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED7a	TR克隆是否更不多样	患者内TR/NTR Shannon	配对箱图	患者	深度及可测标签覆盖	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED7b	gamma/delta CDR3长度	实验标签和长度	长度箱图	受体	长度不是抗原多样性测量	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED7c	各链长度背景	alpha/beta/gamma/delta长度	分布	链序列	不同链不能简单合并独立性	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED7d	Vdelta亚型长度差	153筛选受体Vdelta分层	箱图	受体/供者	亚型混杂	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED7e	两链长度关系	paired CDR3长度	Pearson散点	受体	先去重复再相关	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED7f	患者间序列是否共享	44供者唯一CDR3集合	检测患者数分布	序列/患者	Gamma共享与完整paired共享不同	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED7g	与泛癌是否共享delta	本研究及两泛癌序列集	集合重叠	序列	相同抗原可由不同TCR识别	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED7h	其他癌种V使用	实验标签和V基因	Fisher频率比较	受体/供者	小样本多比较	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED7i	活化及抑制蛋白	TR/NTR ADT	表达比较	细胞	非完整耗竭功能试验	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED7j	活化及抑制蛋白	TR/NTR ADT	表达比较	细胞	非完整耗竭功能试验	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED7k	KLRG1/TIGIT/PD1	1990标注细胞	箱图	细胞嵌套克隆	RNA与ADT不混用；Bonferroni	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED7l	扩增状态的影响	扩增/非扩增+功能标签	分组箱图	细胞嵌套克隆	必须分离clone-size与reactivity效应	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED8a	扩增克隆分数	cell/max-clone分数	R/NR箱图	细胞与克隆两种单位	相同患者内部依赖	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED8b	其余临床患者	八患者纵向克隆频率	alluvial	患者内克隆	基线缺失显示规则	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED8c	临床队列候选实测	十一受体独立实验	激活矩阵	候选受体	十一中十个匹配不等于整个队列模型准确率	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED8d	其他群体生存结果	多个细胞亚群FC和PFS	方向和P值热图	患者	跨亚群多次检验	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED8e	血液TR与NTR差异	BM匹配序列、多个血液采样RF	组间箱图	血液collection	重复访视和两种组分	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED8f	BM频率是否反映于血液	同患者同时点delta序列BM频率/RF	Spearman散点	序列嵌套患者	不能把每序列当独立患者	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED9a	初筛B2M/CD1D依赖	WT/B2MKO/CD1DOE激活	FC矩阵	独立实验	与Fig6a有重用数据	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED9b	TR Vdelta2是否BTN3A依赖	TCR11与BTN3AKO及HMBPP	激活定量	独立实验	最终版本与早期回复结论有修订	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED9c	B2M依赖表型	Vgamma9内依赖性标签和GEX/ADT	火山图	细胞嵌套受体	候选CD8不是所有TR受体普遍机制	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED9d	不反应allele差在哪	HLA-C氨基酸比对	全长与三残基对齐	allele序列	不是结构测定	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED9e	不反应allele差在哪	HLA-C氨基酸比对	全长与三残基对齐	allele序列	不是结构测定	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED9f	点突变原始流式	WT和三单突变	GFP代表性流式	独立实验	与Fig6e定量是同一证据支路	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED9g	供者和靶细胞Bw4背景	HLA分型及表达	基因型/表达展示	供者或细胞系	HLA基因值与特定allele表达要区分	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED9h	供者和靶细胞Bw4背景	HLA分型及表达	基因型/表达展示	供者或细胞系	HLA基因值与特定allele表达要区分	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED9i	健康肾细胞有无Bw4	表面Bw4	流式	健康靶细胞	有限正常组织与供者	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED9j	Bw4增加及KIR阻断	HLAC-OE±Bw4-OE±antiKIR	CD69流式及重复定量	三个独立实验	归一化基线和配对完整性	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED9k	Bw4增加及KIR阻断	HLAC-OE±Bw4-OE±antiKIR	CD69流式及重复定量	三个独立实验	归一化基线和配对完整性	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED9l	阴性受体配体控制	七MM细胞系CD1C	流式	细胞系	阴性控制是否真正无相应配体	caption_only; original pixels not available	Not inspected; Zenodo unavailable
ED9m	遗传扰动有效性	被KO表面蛋白	流式	细胞系与靶蛋白	不能只凭CRISPR操作名称认定KO成功	caption_only; original pixels not available	Not inspected; Zenodo unavailable
