analysis_id	正文主张	figure/panel	method与参数	code位置	输入/输出	复现状态	冲突或缺口
A11	空间模式检出频率; EV_A11_PAPER_CLAIM; F020;F036	仅有 Results 图引用，不能作逐 panel 视觉核验。; Fig4A; EV_A11_FIGURE; 原图/完整图注未取得；Results 图引用 Fig4A	报告切片级模式检出与组织构造差异。; EV_A11_METHOD; F020;F036	未提供/未找到; EV_A11_CODE; missing; missing	A11_INPUT; EXPECTED_NOT_ACQUIRED/A11_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A11_OUTPUT; EXPECTED_NOT_GENERATED/A11_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A11_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A11_CODE; A11_INPUT; EV_A11_METHOD; A11_G_DETAIL; 患者层检出率、面积与最小检测机会未核实。; 限制方法唯一确定性或科学解释强度。; EV_A11_PAPER_CLAIM; EV_A11_METHOD
A12	Visium 分解与中心选择; EV_A12_PAPER_CLAIM; F011-F012	图注描述该分析的展示内容；像素未取得。; Fig3D; Fig3E; EV_A12_FIGURE; CAP03	RCTD v2.0.0 multi 模式；按 CAF 权重选择中心 spot。; EV_A12_METHOD; F011-F012; caf_weight_gt; 0.37; reported; EV_A12_METHOD; RCTD_mode; multi; reported; EV_A12_METHOD; reference_sha256; unreported; EV_A12_METHOD	未提供/未找到; EV_A12_CODE; missing; missing	A12_INPUT; EXPECTED_NOT_ACQUIRED/A12_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A12_OUTPUT; EXPECTED_NOT_GENERATED/A12_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A12_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A12_CODE; A12_INPUT; EV_A12_METHOD; A12_G_DETAIL; scRNA 参考对象、权重校验和中心选择代码未取得。; 限制方法唯一确定性或科学解释强度。; EV_A12_PAPER_CLAIM; EV_A12_METHOD
A13	Visium 邻域与 PCA; EV_A13_PAPER_CLAIM; F013-F014	图注描述该分析的展示内容；像素未取得。; Fig3D; Fig3E; EV_A13_FIGURE; CAP03	中心与相邻 spots 组成平均，PCA 表征后图聚类。; EV_A13_METHOD; F013-F014; adjacent_spots; 6; reported; EV_A13_METHOD; neighborhood_spots; 7; reported; EV_A13_METHOD; n_pcs; 5; reported; EV_A13_METHOD; edge_spot_policy; unreported; EV_A13_METHOD	未提供/未找到; EV_A13_CODE; missing; missing	A13_INPUT; EXPECTED_NOT_ACQUIRED/A13_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A13_OUTPUT; EXPECTED_NOT_GENERATED/A13_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A13_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A13_CODE; A13_INPUT; EV_A13_METHOD; A13_G_DETAIL; 边缘 spot 邻接、PCA缩放与后续图参数未取得。; 限制方法唯一确定性或科学解释强度。; EV_A13_PAPER_CLAIM; EV_A13_METHOD
A14	iStar 辅助验证; EV_A14_PAPER_CLAIM; F039;TableS5未取得	仅有 Results 图引用，不能作逐 panel 视觉核验。; FigS6; EV_A14_FIGURE; 原图/完整图注未取得；Results 图引用 FigS6	采用签名与 iStar 推断组织区域，活动调用未取得。; EV_A14_METHOD; F039;TableS5未取得; iStar_config; unreported; EV_A14_METHOD	未提供/未找到; EV_A14_CODE; missing; missing	A14_INPUT; EXPECTED_NOT_ACQUIRED/A14_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A14_OUTPUT; EXPECTED_NOT_GENERATED/A14_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A14_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A14_CODE; A14_INPUT; EV_A14_METHOD; A14_G_DETAIL; 签名、图像输入、配置和独立验证材料未取得。; 限制方法唯一确定性或科学解释强度。; EV_A14_PAPER_CLAIM; EV_A14_METHOD
A15	目标细胞距离; EV_A15_PAPER_CLAIM; F015	仅有 Results 图引用，不能作逐 panel 视觉核验。; Fig4; EV_A15_FIGURE; 原图/完整图注未取得；Results 图引用 Fig4	针对每个 CAF，目标类型最近细胞距离取均值。; EV_A15_METHOD; F015; nearest_target_cells; 5; reported; EV_A15_METHOD; aggregation; mean; reported; EV_A15_METHOD; insufficient_target_policy; unreported; EV_A15_METHOD	未提供/未找到; EV_A15_CODE; missing; missing	A15_INPUT; EXPECTED_NOT_ACQUIRED/A15_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A15_OUTPUT; EXPECTED_NOT_GENERATED/A15_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A15_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A15_CODE; A15_INPUT; EV_A15_METHOD; A15_G_DETAIL; 不足目标细胞数、边界和抽样单位实现未取得。; 限制方法唯一确定性或科学解释强度。; EV_A15_PAPER_CLAIM; EV_A15_METHOD
A16	肿瘤区域掩模; EV_A16_PAPER_CLAIM; F016	仅有 Results 图引用，不能作逐 panel 视觉核验。; Fig4; EV_A16_FIGURE; 原图/完整图注未取得；Results 图引用 Fig4	区分 tumor bed、margin 与 distant。; EV_A16_METHOD; F016; margin_um; 100; reported; EV_A16_METHOD; tumor_mask_algorithm; unreported; EV_A16_METHOD	未提供/未找到; EV_A16_CODE; missing; missing	A16_INPUT; EXPECTED_NOT_ACQUIRED/A16_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A16_OUTPUT; EXPECTED_NOT_GENERATED/A16_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A16_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A16_CODE; A16_INPUT; EV_A16_METHOD; A16_G_DETAIL; 肿瘤掩模算法、空洞/坏死和边界方向未核实。; 限制方法唯一确定性或科学解释强度。; EV_A16_PAPER_CLAIM; EV_A16_METHOD
A17	CAF 与免疫分布关联; EV_A17_PAPER_CLAIM; F035;F036;P01 Results / immune infiltration	仅有 Results 图引用，不能作逐 panel 视觉核验。; Fig4E; EV_A17_FIGURE; 原图/完整图注未取得；Results 图引用 Fig4E	对空间类别与免疫分布做相关分析。; EV_A17_METHOD; F035;F036;P01 Results / immune infiltration; independent_unit_model; unreported; EV_A17_METHOD	未提供/未找到; EV_A17_CODE; missing; missing	A17_INPUT; EXPECTED_NOT_ACQUIRED/A17_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A17_OUTPUT; EXPECTED_NOT_GENERATED/A17_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A17_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A17_CODE; A17_INPUT; EV_A17_METHOD; A17_G_DETAIL; 完整设计矩阵、患者嵌套与空间依赖处理未取得。; 限制方法唯一确定性或科学解释强度。; EV_A17_PAPER_CLAIM; EV_A17_METHOD
A18	密度和等高线呈现; EV_A18_PAPER_CLAIM; F017	仅有 Results 图引用，不能作逐 panel 视觉核验。; Fig4C; EV_A18_FIGURE; 原图/完整图注未取得；Results 图引用 Fig4C	基于二维网格的密度可视化。; EV_A18_METHOD; F017; grid_um; 120; reported; EV_A18_METHOD; grid_origin_and_mask; unreported; EV_A18_METHOD	未提供/未找到; EV_A18_CODE; missing; missing	A18_INPUT; EXPECTED_NOT_ACQUIRED/A18_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A18_OUTPUT; EXPECTED_NOT_GENERATED/A18_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A18_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A18_CODE; A18_INPUT; EV_A18_METHOD; A18_G_DETAIL; 网格原点、组织掩模和可视化输入对象未取得。; 限制方法唯一确定性或科学解释强度。; EV_A18_PAPER_CLAIM; EV_A18_METHOD
A19	Xenium 肿瘤状态与几何; EV_A19_PAPER_CLAIM; F021;F037;F047-F050	仅有 Results 图引用，不能作逐 panel 视觉核验。; Fig5B; Fig5C; Fig5D; EV_A19_FIGURE; 原图/完整图注未取得；Results 图引用 Fig5B,Fig5C,Fig5D	Xenium 示例中比较肿瘤状态、聚团与免疫分布。; EV_A19_METHOD; F021;F037;F047-F050; tumor_state_clustering; unreported; EV_A19_METHOD	未提供/未找到; EV_A19_CODE; missing; missing	A19_INPUT; EXPECTED_NOT_ACQUIRED/A19_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A19_OUTPUT; EXPECTED_NOT_GENERATED/A19_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A19_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A19_CODE; A19_INPUT; EV_A19_METHOD; A19_G_DETAIL; 肿瘤聚团定义、状态参数和条件比较对象未取得。; 限制方法唯一确定性或科学解释强度。; EV_A19_PAPER_CLAIM; EV_A19_METHOD
A20	Xenium 距离对比; EV_A20_PAPER_CLAIM; F038	图注描述该分析的展示内容；像素未取得。; Fig5 panel not recovered; EV_A20_FIGURE; CAP05partial	图注片段提及距离组比较和 Wilcoxon；具体 panel 字母未恢复。; EV_A20_METHOD; F038; paired_test_setting; unreported; EV_A20_METHOD	未提供/未找到; EV_A20_CODE; missing; missing	A20_INPUT; EXPECTED_NOT_ACQUIRED/A20_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A20_OUTPUT; EXPECTED_NOT_GENERATED/A20_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A20_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A20_CODE; A20_INPUT; EV_A20_METHOD; A20_G_DETAIL; 完整图注、原始比较表与 paired 参数未取得。; 限制方法唯一确定性或科学解释强度。; EV_A20_PAPER_CLAIM; EV_A20_METHOD
A21	COMET 蛋白空间验证; EV_A21_PAPER_CLAIM; F022	仅有 Results 图引用，不能作逐 panel 视觉核验。; Fig6; EV_A21_FIGURE; 原图/完整图注未取得；Results 图引用 Fig6	独立蛋白成像用于核查空间情境与形态。; EV_A21_METHOD; F022; antibody_thresholds; unreported; EV_A21_METHOD	未提供/未找到; EV_A21_CODE; missing; missing	A21_INPUT; EXPECTED_NOT_ACQUIRED/A21_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A21_OUTPUT; EXPECTED_NOT_GENERATED/A21_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A21_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A21_CODE; A21_INPUT; EV_A21_METHOD; A21_G_DETAIL; TableS7、原图、抗体阈值及盲法记录未取得。; 限制方法唯一确定性或科学解释强度。; EV_A21_PAPER_CLAIM; EV_A21_METHOD
A22	CODEX 临床关联; EV_A22_PAPER_CLAIM; F023;F027;F029	图注描述该分析的展示内容；像素未取得。; Fig7A; Fig7B; Fig7C; Fig7D; Fig7E; EV_A22_FIGURE; CAP07a	CODEX 空间表型与患者分组/生存进行比较。; EV_A22_METHOD; F023;F027;F029; dichotomy; group_median; reported; EV_A22_METHOD; patient_core_aggregation; unreported; EV_A22_METHOD	未提供/未找到; EV_A22_CODE; missing; missing	A22_INPUT; EXPECTED_NOT_ACQUIRED/A22_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A22_OUTPUT; EXPECTED_NOT_GENERATED/A22_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A22_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A22_CODE; A22_INPUT; EV_A22_METHOD; A22_G_DETAIL; 核心合并、终点、协变量和检验家族未核实。; 限制方法唯一确定性或科学解释强度。; EV_A22_PAPER_CLAIM; EV_A22_METHOD
A23	单变量 Cox 的结论上限; EV_A23_PAPER_CLAIM; F027;P01 Results / IMC clinical relevance	仅有 Results 图引用，不能作逐 panel 视觉核验。; Fig7L; EV_A23_FIGURE; 原图/完整图注未取得；Results 图引用 Fig7L	Methods 声明 univariable Cox。; EV_A23_METHOD; F027;P01 Results / IMC clinical relevance; cox_type; univariable; reported; EV_A23_METHOD; covariates_verified; unreported; EV_A23_METHOD	未提供/未找到; EV_A23_CODE; missing; missing	A23_INPUT; EXPECTED_NOT_ACQUIRED/A23_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A23_OUTPUT; EXPECTED_NOT_GENERATED/A23_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A23_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A23_CODE; A23_INPUT; EV_A23_METHOD; A23_G_DETAIL; 完整 Cox 公式、终点、事件数与比例风险诊断未取得。; 限制方法唯一确定性或科学解释强度。; EV_A23_PAPER_CLAIM; EV_A23_METHOD
A24	患者分组的结局隔离; EV_A24_PAPER_CLAIM; F028;Survival Analyses	图注描述该分析的展示内容；像素未取得。; Fig7M; Fig7N; EV_A24_FIGURE; CAP07b	可见方法将生存时间列入患者聚类输入；实际矩阵未取得。; EV_A24_METHOD; F028;Survival Analyses; hclust_inputs_reported; CAF subtype composition and survival time; reported; EV_A24_METHOD; hclust_actual_columns; unreported; EV_A24_METHOD	未提供/未找到; EV_A24_CODE; missing; missing	A24_INPUT; EXPECTED_NOT_ACQUIRED/A24_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A24_OUTPUT; EXPECTED_NOT_GENERATED/A24_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A24_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A24_CODE; A24_INPUT; EV_A24_METHOD; A24_G_DETAIL; 需要作者输入矩阵与脚本区分真实聚类、排序或文字误写。; 限制方法唯一确定性或科学解释强度。; EV_A24_PAPER_CLAIM; EV_A24_METHOD
A25	IMC 纳入数文字差异; EV_A25_PAPER_CLAIM; F024-F026;critical_verbatim_fragments	仅有 Results 图引用，不能作逐 panel 视觉核验。; Fig7; EV_A25_FIGURE; 原图/完整图注未取得；Results 图引用 Fig7	Results 与 Methods 的 IMC 患者及区域数不同，原因未核实。; EV_A25_METHOD; F024-F026;critical_verbatim_fragments; imc_patients_results; 1070; reported; EV_A25_METHOD; imc_patients_methods; 1072; reported; EV_A25_METHOD; imc_cores_results; 2070; reported; EV_A25_METHOD; imc_regions_methods; 2072; reported; EV_A25_METHOD	未提供/未找到; EV_A25_CODE; missing; missing	A25_INPUT; EXPECTED_NOT_ACQUIRED/A25_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A25_OUTPUT; EXPECTED_NOT_GENERATED/A25_result; 预期分析结果；未运行未生成; fingerprint=missing	材料冲突	A25_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A25_CODE; A25_INPUT; EV_A25_METHOD; A25_G_DETAIL; 作者接受稿与最终稿、筛选表之间的对应关系未取得。; 限制方法唯一确定性或科学解释强度。; EV_A25_PAPER_CLAIM; EV_A25_METHOD; A25_C_IMC; Results 报告 1070 患者/2070 核心；Methods 报告 1072 患者/2072 区域。; 当前未取得可解释此计数差异的最终版本/纳入排除记录。; EV_A25_PAPER_CLAIM; EV_A25_METHOD
A26	面板覆盖与基因语义; EV_A26_PAPER_CLAIM; F021;F040;TableS5未取得	仅有 Results 图引用，不能作逐 panel 视觉核验。; Fig5A; FigS1E; FigS1F; EV_A26_FIGURE; 原图/完整图注未取得；Results 图引用 Fig5A,FigS1E,FigS1F	原文讨论所用面板的标记限制；本次未取得完整面板比较表。; EV_A26_METHOD; F021;F040;TableS5未取得; exact_panel_file_sha256; unreported; EV_A26_METHOD	未提供/未找到; EV_A26_CODE; missing; missing	A26_INPUT; EXPECTED_NOT_ACQUIRED/A26_input; 待作者材料明确的原始或中间输入；此路径是合同占位，不是已找到文件; fingerprint=missing; A26_OUTPUT; EXPECTED_NOT_GENERATED/A26_result; 预期分析结果；未运行未生成; fingerprint=missing	受阻	A26_G_CODE; 作者活动代码和带哈希的输入对象未取得。; 不能将本目标标记为论文生物学复现。; EV_A26_CODE; A26_INPUT; EV_A26_METHOD; A26_G_DETAIL; 精确面板文件与版本、基因映射和签名覆盖表未取得。; 限制方法唯一确定性或科学解释强度。; EV_A26_PAPER_CLAIM; EV_A26_METHOD
