module	parameter	value	unit	provenance_status	locator	interpretation_limit
gsea	untested_or_nonsignificant	zero_contribution	ranking	reported	P 同上	共识排序不等于平均效应
rctd	mode	multi	mode	implemented_literal	C03 run.RCTD	与论文描述一致; 未执行
rctd	minimum_reference_cells	strictly_greater_than_50	cells_per_type	implemented_literal	C03 celltype_count	不是大于等于50
rctd	label_edit	remove__reg_substring	label	implemented_literal	C03 gsub	可能合并Treg标签
rctd	seed	1234	seed	implemented_literal	C03 set.seed	不是全流程统一种子
rctd	max_cores	1	cores	implemented_literal	C03 create.RCTD	BLAS另设线程
boundary	paper_band	T1_plus_E1	layers	reported	P Gene expression at the tumour boundary	不等于所有脚本默认分支
boundary	cli_width	4	layers	implemented_default	C05 option_list	顶部2被覆盖; 最终argv未知
boundary	output_behavior	override_and_recursive_delete	filesystem	implemented_literal	C05 output_dir; unlink	未执行; 必须隔离
commot	version	1.0.0	version	reported	P Spatial cell-cell interaction at tumour boundary	未安装
commot	database	CellChat	database	reported	P 同上; C04	数据库条目快照未闭合
commot	paper_distance	1000	um	reported	P 同上	实际坐标尺度需核对
commot	cli_distance	1000	input_coordinate_units	implemented_default	C04 OptionParser	无显式数值type; 默认与argv类型可能不同
commot	lr_min_pct	0.05	fraction	implemented_literal	C04 filter_lr_database	全基因通信对象先于HVG复制
commot	cluster_permutations	100	permutations	implemented_literal	C04 cluster_communication	不是所有下游检验的统一重复数
commot	cache_identity	fixed_filename_without_visible_hash_check	cache	implemented_snapshot	C04 cache branch	仅指出已读段风险
3d_graph	connection_rule	greater_than_3	matched_spots	reported	P Serial section alignment and branching factor calculation	目录N_min_3不能确认比较符
3d_graph	connected_cycle_rank	E-V+1	per_component	reported	P 同上	不连通图应加组件数C
mushroom	registration	manual_landmark_assisted	method	reported	P Registration	landmarks与最终变换未取得
mushroom	cumulative_clusters	8_32_64	clusters	reported	P Model architecture	与分支8_4_2并不冲突
mushroom	branch_factors	8_4_2	branches	implemented_default	C10 DEFAULT_CONFIG; C18 _to_quantized	不冒充逐样本配置
mushroom	max_neighbour_loss_weight	0.01	weight	reported	P Model loss function	需最终warm-up与配置
mushroom	cross_entropy_input	softmax_probabilities	input_semantics	implemented_literal	C18 quantize; forward	数学不等价; 未量化患者结果影响
mushroom	paper_log_base	2	base	reported	P Model inputs and preprocessing	最终输入处理需配置
mushroom	default_log_base	np.e	base	implemented_default	C10 DEFAULT_CONFIG	不能排除外部覆盖
mushroom	notebook_cases	empty_list	state	implemented_snapshot	C09 f7768f25	不是历史未训练证据
mushroom	steps_per_epoch	1000_or_2000_or_4000	steps	implemented_literal	C09 get_n_steps	由切片数选择; 不是通用最终值
mushroom	target_resolution_variables	50_and_visium_100	unit_unresolved	implemented_snapshot	C09 9a0b2e7c	须核对metadata单位
mushroom	final_hyperparameters	unretrieved	configuration	unresolved	P Supplementary_Table_4	该表不是已确认CODEX门控表
mesmer	split_size	25000	pixels	implemented_default	C12 segment_cells	发表后代码默认
mesmer	overlap_padding	200	pixels	implemented_default	C12 segment_cells	不是论文最终传参
codex	positive_pixel_fraction	greater_than_0.05	fraction	reported	P Cell-type annotation of CODEX imaging data	像素强度阈值另行定义
codex	per_sample_gating	unretrieved	configuration	unresolved	P Cell-type annotation of CODEX imaging data	不能用当前默认替代
own_checks	python	3.13.5	version	own_test	validation/synthetic_checks.json	仅原创合成检查
own_checks	numpy	2.3.5	version	own_test	validation/synthetic_checks.json	不是作者环境锁定
own_checks	tests	24	unit_tests	own_test	validation/test_log.txt	全部确定性合成输入; 无患者数据
